@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute orientation-1 numeric
@attribute orientation-2 numeric
@attribute orientation-3 numeric
@attribute outputs-1 numeric

@data
1,'2023/10/29 18:46:41:897',1,0.215685,0.041358,0.116768,0.9
2,'2023/10/29 18:46:41:924',1,0.189855,0.044755,0.105301,0.9
3,'2023/10/29 18:46:41:957',1,0.20147,0.04341,0.109014,0.9
4,'2023/10/29 18:46:41:991',1,0.20791,0.039418,0.116885,0.9
5,'2023/10/29 18:46:42:029',1,0.194689,0.040769,0.114934,0.9
6,'2023/10/29 18:46:42:060',1,0.19953,0.040585,0.114344,0.9
7,'2023/10/29 18:46:42:113',1,0.19304,0.040074,0.111225,0.9
8,'2023/10/29 18:46:42:146',1,0.194795,0.03971,0.109194,0.9
9,'2023/10/29 18:46:42:175',1,0.19397,0.043923,0.112415,0.9
10,'2023/10/29 18:46:42:194',1,0.199434,0.043879,0.107994,0.9
11,'2023/10/29 18:46:42:229',1,0.211595,0.040212,0.111926,0.9
12,'2023/10/29 18:46:42:258',1,0.206282,0.040612,0.112724,0.9
13,'2023/10/29 18:46:42:291',1,0.188509,0.041959,0.10779,0.9
14,'2023/10/29 18:46:42:333',1,0.200692,0.041724,0.113621,0.9
15,'2023/10/29 18:46:45:591',2,0.202141,0.056779,0.06276,0.9
16,'2023/10/29 18:46:45:630',2,0.216279,0.056144,0.061256,0.9
17,'2023/10/29 18:46:45:661',2,0.18867,0.059264,0.067906,0.9
18,'2023/10/29 18:46:45:690',2,0.217952,0.054519,0.068628,0.9
19,'2023/10/29 18:46:45:724',2,0.21359,0.054337,0.067899,0.9
20,'2023/10/29 18:46:45:761',2,0.209665,0.058531,0.06752,0.9
21,'2023/10/29 18:46:45:790',2,0.204417,0.05281,0.067134,0.9
22,'2023/10/29 18:46:45:814',2,0.209374,0.055015,0.067025,0.9
23,'2023/10/29 18:46:45:845',2,0.208601,0.053369,0.069688,0.9
24,'2023/10/29 18:46:45:874',2,0.203047,0.052157,0.072747,0.9
25,'2023/10/29 18:46:45:914',2,0.193219,0.052111,0.070603,0.9
26,'2023/10/29 18:46:50:559',3,0.140268,-0.041738,0.10138,0.8
27,'2023/10/29 18:46:50:591',3,0.137026,-0.035765,0.093905,0.8
28,'2023/10/29 18:46:50:649',3,0.140763,-0.039886,0.096267,0.8
29,'2023/10/29 18:46:50:660',3,0.1445,-0.04058,0.093283,0.8
30,'2023/10/29 18:46:50:691',3,0.15641,-0.038364,0.09075,0.8
31,'2023/10/29 18:46:50:733',3,0.144306,-0.041185,0.093879,0.8
32,'2023/10/29 18:46:50:764',3,0.145635,-0.038902,0.092097,0.8
33,'2023/10/29 18:46:50:790',3,0.151153,-0.038342,0.093654,0.8
34,'2023/10/29 18:46:50:833',3,0.144028,-0.03581,0.087677,0.8
35,'2023/10/29 18:46:50:866',3,0.14041,-0.04069,0.089258,0.8
36,'2023/10/29 18:46:50:898',3,0.159588,-0.036762,0.089546,0.8
37,'2023/10/29 18:46:50:922',3,0.144951,-0.041709,0.09317,0.8
38,'2023/10/29 18:46:50:961',3,0.134022,-0.038526,0.091297,0.8
39,'2023/10/29 18:46:50:990',3,0.141324,-0.037229,0.099047,0.8
40,'2023/10/29 18:46:51:026',3,0.1276,-0.041142,0.090652,0.8
41,'2023/10/29 18:46:51:060',3,0.134358,-0.04074,0.090602,0.8
42,'2023/10/29 18:46:51:073',3,0.139595,-0.037347,0.090497,0.8
43,'2023/10/29 18:46:51:108',3,0.135436,-0.044577,0.089771,0.8
44,'2023/10/29 18:46:53:124',4,0.245475,-0.041104,0.088789,0.8
45,'2023/10/29 18:46:53:165',4,0.241371,-0.043981,0.09045,0.8
46,'2023/10/29 18:46:53:199',4,0.252949,-0.037813,0.088915,0.8
47,'2023/10/29 18:46:53:229',4,0.247411,-0.044745,0.094114,0.8
48,'2023/10/29 18:46:53:256',4,0.243097,-0.043475,0.092872,0.8
49,'2023/10/29 18:46:53:292',4,0.244938,-0.042249,0.09335,0.8
50,'2023/10/29 18:46:53:323',4,0.248385,-0.040083,0.090929,0.8
51,'2023/10/29 18:46:53:356',4,0.251869,-0.038226,0.091454,0.8
52,'2023/10/29 18:46:53:399',4,0.255784,-0.040818,0.100192,0.8
53,'2023/10/29 18:46:53:409',4,0.250455,-0.043051,0.095782,0.8
54,'2023/10/29 18:46:55:595',5,0.140189,0.125884,0.083266,0.8
55,'2023/10/29 18:46:55:622',5,0.143726,0.127494,0.08549,0.8
56,'2023/10/29 18:46:55:656',5,0.133075,0.127748,0.082743,0.8
57,'2023/10/29 18:46:55:694',5,0.132147,0.129071,0.086774,0.8
58,'2023/10/29 18:46:55:740',5,0.132332,0.124521,0.098554,0.8
59,'2023/10/29 18:46:55:773',5,0.137426,0.120516,0.088315,0.8
60,'2023/10/29 18:46:55:806',5,0.141431,0.123679,0.091891,0.8
61,'2023/10/29 18:46:55:839',5,0.138655,0.123649,0.095554,0.8
62,'2023/10/29 18:46:55:856',5,0.140477,0.123038,0.090744,0.8
63,'2023/10/29 18:46:55:889',5,0.14107,0.122751,0.091674,0.8
64,'2023/10/29 18:46:55:925',5,0.13789,0.12337,0.095479,0.8
65,'2023/10/29 18:46:55:956',5,0.14364,0.123077,0.089258,0.8
66,'2023/10/29 18:46:55:989',5,0.14621,0.123182,0.098397,0.8
67,'2023/10/29 18:46:56:031',5,0.132801,0.123385,0.094126,0.8
68,'2023/10/29 18:46:56:055',5,0.13225,0.124154,0.096858,0.8
69,'2023/10/29 18:46:56:090',5,0.134273,0.125528,0.090529,0.8
70,'2023/10/29 18:46:58:294',6,0.246762,0.126018,0.123868,0.8
71,'2023/10/29 18:46:58:365',6,0.242247,0.128477,0.125416,0.8
72,'2023/10/29 18:46:58:381',6,0.255762,0.128568,0.123262,0.8
73,'2023/10/29 18:46:58:410',6,0.239288,0.132861,0.12507,0.8
74,'2023/10/29 18:46:58:461',6,0.247258,0.133438,0.128836,0.8
75,'2023/10/29 18:46:58:494',6,0.244306,0.133324,0.126356,0.8
76,'2023/10/29 18:47:03:990',7,0.123841,-0.10036,0.052912,0.7
77,'2023/10/29 18:47:04:030',7,0.11172,-0.101892,0.052369,0.7
78,'2023/10/29 18:47:04:055',7,0.117957,-0.099663,0.051064,0.7
79,'2023/10/29 18:47:04:089',7,0.109765,-0.100229,0.051211,0.7
80,'2023/10/29 18:47:04:122',7,0.118372,-0.1005,0.055563,0.7
81,'2023/10/29 18:47:04:164',7,0.109367,-0.102727,0.052512,0.7
82,'2023/10/29 18:47:04:188',7,0.126024,-0.096834,0.058218,0.7
83,'2023/10/29 18:47:04:230',7,0.123647,-0.099228,0.05594,0.7
84,'2023/10/29 18:47:04:280',7,0.11617,-0.09299,0.054139,0.7
85,'2023/10/29 18:47:04:296',7,0.106797,-0.10012,0.055864,0.7
86,'2023/10/29 18:47:04:321',7,0.1163,-0.100792,0.054354,0.7
87,'2023/10/29 18:47:04:359',7,0.111458,-0.098113,0.05578,0.7
88,'2023/10/29 18:47:04:397',7,0.119338,-0.101254,0.053974,0.7
89,'2023/10/29 18:47:04:430',7,0.12329,-0.096246,0.050175,0.7
90,'2023/10/29 18:47:04:998',8,0.02608,-0.090661,0.020938,0.7
91,'2023/10/29 18:47:05:021',8,0.019717,-0.090648,0.021274,0.7
92,'2023/10/29 18:47:05:057',8,0.037499,-0.08831,0.02068,0.7
93,'2023/10/29 18:47:05:100',8,0.049549,-0.087427,0.018807,0.7
94,'2023/10/29 18:47:05:114',8,0.043868,-0.085753,0.022131,0.7
95,'2023/10/29 18:47:05:146',8,0.056175,-0.090278,0.022502,0.7
96,'2023/10/29 18:47:05:171',8,0.054631,-0.089781,0.019316,0.7
97,'2023/10/29 18:47:05:212',8,0.060283,-0.092839,0.017209,0.7
98,'2023/10/29 18:47:05:238',8,0.062692,-0.091789,0.015615,0.7
99,'2023/10/29 18:47:05:280',8,0.063593,-0.091967,0.024882,0.7
100,'2023/10/29 18:47:05:314',8,0.071006,-0.095552,0.030445,0.7
101,'2023/10/29 18:47:05:338',8,0.07393,-0.097143,0.0318,0.7
102,'2023/10/29 18:47:05:370',8,0.087544,-0.098842,0.036298,0.7
103,'2023/10/29 18:47:05:430',8,0.107094,-0.093741,0.036762,0.7
104,'2023/10/29 18:47:05:442',8,0.10875,-0.094157,0.037958,0.7
105,'2023/10/29 18:47:07:388',9,0.094262,0.172167,0.08099,0.7
106,'2023/10/29 18:47:07:431',9,0.107196,0.167332,0.083657,0.7
107,'2023/10/29 18:47:07:450',9,0.096897,0.164916,0.08179,0.7
108,'2023/10/29 18:47:07:491',9,0.095393,0.16253,0.079114,0.7
109,'2023/10/29 18:47:07:505',9,0.076933,0.15952,0.091863,0.7
110,'2023/10/29 18:47:07:537',9,0.08986,0.155689,0.105089,0.7
111,'2023/10/29 18:47:07:572',9,0.086103,0.15088,0.10637,0.7
112,'2023/10/29 18:47:07:611',9,0.080496,0.14624,0.102574,0.7
113,'2023/10/29 18:47:07:637',9,0.059804,0.139729,0.107242,0.7
114,'2023/10/29 18:47:07:688',9,0.050312,0.136163,0.106337,0.7
115,'2023/10/29 18:47:07:731',9,0.064635,0.135661,0.107192,0.7
116,'2023/10/29 18:47:07:755',9,0.050764,0.12854,0.104569,0.7
117,'2023/10/29 18:47:07:788',9,0.041881,0.130274,0.105008,0.7
118,'2023/10/29 18:47:07:821',9,0.025088,0.138774,0.097946,0.7
119,'2023/10/29 18:47:07:859',9,0.011561,0.134737,0.084769,0.7
120,'2023/10/29 18:47:07:873',9,0.006724,0.133358,0.084396,0.7
121,'2023/10/29 18:47:07:914',9,-0.001879,0.136983,0.080238,0.7
122,'2023/10/29 18:47:07:938',9,-0.003869,0.136337,0.078093,0.7
123,'2023/10/29 18:47:07:972',9,-0.016018,0.137998,0.085232,0.7
124,'2023/10/29 18:47:08:005',9,-0.021215,0.133247,0.074758,0.7
125,'2023/10/29 18:47:08:036',9,-0.020862,0.136721,0.075884,0.7
126,'2023/10/29 18:47:08:071',9,-0.019983,0.133438,0.06818,0.7
127,'2023/10/29 18:47:08:106',9,-0.037672,0.137297,0.069368,0.7
128,'2023/10/29 18:47:08:146',9,-0.030754,0.131988,0.064475,0.7
129,'2023/10/29 18:47:08:177',9,-0.037875,0.146093,0.057788,0.7
130,'2023/10/29 18:47:08:213',9,-0.032136,0.140673,0.049183,0.7
131,'2023/10/29 18:47:08:255',9,-0.020256,0.142602,0.050813,0.7
132,'2023/10/29 18:47:08:272',9,-0.004821,0.146172,0.04835,0.7
133,'2023/10/29 18:47:08:313',9,0.019578,0.142834,0.041761,0.7
134,'2023/10/29 18:47:08:338',9,0.028322,0.14751,0.038715,0.7
135,'2023/10/29 18:47:08:378',9,0.043015,0.156193,0.040912,0.7
136,'2023/10/29 18:47:08:408',9,0.057494,0.155372,0.038943,0.7
137,'2023/10/29 18:47:08:436',9,0.068956,0.156874,0.040032,0.7
138,'2023/10/29 18:47:08:472',9,0.083011,0.163616,0.049349,0.7
139,'2023/10/29 18:47:08:509',9,0.089611,0.161027,0.038389,0.7
140,'2023/10/29 18:47:08:538',9,0.096637,0.155341,0.047415,0.7
141,'2023/10/29 18:47:08:577',9,0.105431,0.162363,0.053254,0.7
142,'2023/10/29 18:47:08:604',9,0.115591,0.157187,0.07053,0.7
143,'2023/10/29 18:47:08:642',9,0.125651,0.150766,0.075381,0.7
144,'2023/10/29 18:47:08:675',9,0.124992,0.149103,0.07931,0.7
145,'2023/10/29 18:47:08:696',9,0.119537,0.155707,0.08866,0.7
146,'2023/10/29 18:47:08:730',9,0.121196,0.148521,0.104087,0.7
147,'2023/10/29 18:47:08:762',9,0.125307,0.149482,0.100309,0.7
148,'2023/10/29 18:47:08:804',9,0.13618,0.149385,0.102374,0.7
149,'2023/10/29 18:47:08:841',9,0.132292,0.148116,0.095802,0.7
150,'2023/10/29 18:47:08:878',9,0.138881,0.153054,0.098932,0.7
151,'2023/10/29 18:47:18:262',10,0.092674,-0.099893,0.041812,0.6
152,'2023/10/29 18:47:18:286',10,0.099692,-0.094582,0.039956,0.6
153,'2023/10/29 18:47:18:307',10,0.105255,-0.09698,0.042976,0.6
154,'2023/10/29 18:47:18:337',10,0.102856,-0.095303,0.040098,0.6
155,'2023/10/29 18:47:18:380',10,0.101658,-0.095282,0.035472,0.6
156,'2023/10/29 18:47:18:413',10,0.100276,-0.097816,0.042312,0.6
